Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Performance.8,Performance.9,Performance.10,Performance.11,Performance.12,Performance.13,Performance.14,Performance.15,Performance.16,team,match_url,Home_from_url,Away_from_url,Date_from_url,home_norm,away_norm,Date,id
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,,,,,,,,,
Yaser Asprilla,10.0,co COL,FW,21-269,45,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,Girona-Rayo,Vallecano,2025-08-15,girona rayo,vallecano,,
Portu,8.0,es ESP,"FW,MF",33-086,45,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,Girona-Rayo,Vallecano,2025-08-15,girona rayo,vallecano,,
Bojan Miovski,19.0,mk MKD,FW,26-052,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,Girona-Rayo,Vallecano,2025-08-15,girona rayo,vallecano,,
Vladyslav Krapyvtsov,25.0,ua UKR,GK,20-051,46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,Girona-Rayo,Vallecano,2025-08-15,girona rayo,vallecano,,
Viktor Tsyhankov,15.0,ua UKR,FW,27-273,90,0,1,0,0,0,0,0,0,2,3,0,2,2,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,Girona-Rayo,Vallecano,2025-08-15,girona rayo,vallecano,,
Joel Roca,33.0,es ESP,CM,20-069,90,1,0,0,0,1,1,0,0,1,2,0,1,2,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,Girona-Rayo,Vallecano,2025-08-15,girona rayo,vallecano,,
Jhon Solis,22.0,co COL,CM,20-316,90,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,Girona-Rayo,Vallecano,2025-08-15,girona rayo,vallecano,,
Yangel Herrera,21.0,ve VEN,CM,27-213,69,0,0,0,0,1,0,0,0,1,3,0,2,0,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,Girona-Rayo,Vallecano,2025-08-15,girona rayo,vallecano,,
Thomas Lemar,11.0,fr FRA,MF,29-276,21,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,Girona-Rayo,Vallecano,2025-08-15,girona rayo,vallecano,,
Daley Blind,17.0,nl NED,LB,35-159,57,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,Girona-Rayo,Vallecano,2025-08-15,girona rayo,vallecano,,
Vitor Reis,12.0,br BRA,DF,19-215,33,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,Girona-Rayo,Vallecano,2025-08-15,girona rayo,vallecano,,
Ladislav Krejčí,18.0,cz CZE,CB,26-117,90,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,Girona-Rayo,Vallecano,2025-08-15,girona rayo,vallecano,,
David López,5.0,es ESP,CB,35-310,90,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,Girona-Rayo,Vallecano,2025-08-15,girona rayo,vallecano,,
Arnau Martinez,4.0,es ESP,RB,22-112,57,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,Girona-Rayo,Vallecano,2025-08-15,girona rayo,vallecano,,
Hugo Rincón,2.0,es ESP,"DF,MF",22-200,33,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,Girona-Rayo,Vallecano,2025-08-15,girona rayo,vallecano,,
