id,home_team_id,away_team_id,poss_home,poss_away,shots_ot_home,shots_total_home,shots_ot_away,shots_total_away,saves_home,saves_away,cards_home,cards_away
247102277803306.0,TEAM-51EA86E0,TEAM-A415D192,44,56,2,7,31,5,2,50,0,0
127040197594831.0,TEAM-27AC674B,,68,32,10,25,80,4,3,80,0,0
51663335405182.0,TEAM-0E077100,TEAM-550D05AB,29,71,1,4,33,8,5,100,0,0
45932207628643.0,,TEAM-1C981597,62,38,4,15,43,3,2,50,0,0
261612402375946.0,TEAM-BDDFCDFA,TEAM-782246EA,54,46,2,18,23,3,2,50,0,0
50129590343307.0,TEAM-720795A0,TEAM-7273A887,69,31,3,11,30,3,1,100,0,0
27919808326157.0,TEAM-0587F59E,TEAM-B2118D2C,46,54,3,14,50,6,4,0,0,0
87744010723513.0,TEAM-D069E7F8,,40,60,5,9,27,4,3,60,0,0
144528646683596.0,TEAM-A4EC0F45,TEAM-7C631724,68,32,2,6,33,4,3,50,0,0
111346431724064.0,TEAM-93330B41,TEAM-839B22B8,71,29,5,18,0,0,0,80,0,0
130620005776571.0,TEAM-7C631724,,49,51,5,16,45,5,5,100,0,0
205247645787742.0,TEAM-0E077100,TEAM-720795A0,50,50,4,12,25,2,1,75,0,0
179986844463039.0,,TEAM-A4EC0F45,58,42,6,13,33,2,1,83,0,0
244648913498441.0,TEAM-1C981597,TEAM-550D05AB,18,82,5,8,38,10,9,60,0,0
9215938375097.0,TEAM-839B22B8,TEAM-BDDFCDFA,55,45,4,16,25,1,1,75,0,0
98553906407820.0,TEAM-782246EA,TEAM-D069E7F8,62,38,7,15,21,3,1,71,0,0
50232676197012.0,TEAM-27AC674B,TEAM-51EA86E0,53,48,7,19,40,2,2,28,0,0
261429100829799.0,,TEAM-93330B41,35,65,3,6,38,10,8,100,0,0
190836110049714.0,TEAM-0587F59E,TEAM-A415D192,41,60,4,11,17,1,1,75,0,0
22551900963445.0,TEAM-B2118D2C,TEAM-7273A887,71,29,3,12,75,6,4,100,0,0
2683705776554.0,TEAM-720795A0,TEAM-7C631724,47,53,5,14,29,2,0,80,0,0
101892602565564.0,TEAM-A4EC0F45,TEAM-1C981597,67,33,5,16,9,1,1,60,0,0
146098540577909.0,TEAM-BDDFCDFA,TEAM-7273A887,57,43,4,7,9,1,1,25,0,0
165855820707949.0,,,40,60,2,5,40,6,5,50,0,0
142778716575775.0,,TEAM-782246EA,43,57,1,8,33,6,6,0,0,0
139908708942131.0,TEAM-51EA86E0,TEAM-B2118D2C,58,42,5,20,31,4,2,100,0,0
217989826177558.0,TEAM-93330B41,TEAM-0E077100,58,42,7,17,56,5,2,71,0,0
231338422714099.0,TEAM-720795A0,TEAM-27AC674B,65,35,2,10,38,3,2,100,0,0
39199701049590.0,TEAM-7C631724,TEAM-0587F59E,51,50,2,9,40,6,5,50,0,0
241965786970629.0,TEAM-D069E7F8,TEAM-839B22B8,46,55,4,10,30,3,3,75,0,0
276097815612589.0,TEAM-A415D192,TEAM-550D05AB,43,57,6,12,25,3,2,83,0,0
81333748194840.0,TEAM-B2118D2C,TEAM-A4EC0F45,53,47,3,7,40,2,0,33,0,0
