Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,player_id
Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,20-030,2006,14,3,462,5.1,2,0,2,2,0,0,0,0,0.39,0.0,0.39,0.39,0.39,Matches,PLY-0EDE46DFB5
Tay Abed,il ISR,MF,Levante,21-340,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,PLY-B6515367DD
Abdel Abqar,ma MAR,DF,Getafe,26-338,1999,11,8,747,8.3,0,1,1,0,0,0,6,0,0.0,0.12,0.12,0.0,0.12,Matches,PLY-B0B73C9636
Akor Adams,ng NGA,FW,Sevilla,26-013,2000,18,11,1150,12.8,6,2,8,4,2,2,1,0,0.47,0.16,0.63,0.31,0.47,Matches,PLY-D02C1B7C35
David Affengruber,at AUT,DF,Elche,24-329,2001,22,20,1813,20.1,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,Matches,PLY-98EA2DA197
Julen Agirrezabala,es ESP,GK,Valencia,25-047,2000,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,PLY-B5CF082445
Lucien Agoume,fr FRA,MF,Sevilla,24-002,2002,20,18,1585,17.6,1,2,3,1,0,0,9,0,0.06,0.11,0.17,0.06,0.17,Matches,PLY-99FFBEEAD1
Marc Aguado,es ESP,MF,Elche,25-354,2000,22,18,1502,16.7,0,1,1,0,0,0,1,0,0.0,0.06,0.06,0.0,0.06,Matches,PLY-708410C10D
Pablo Agudín,es ESP,MF,Oviedo,18-095,2007,4,0,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,PLY-6B2276828E
Lucas Ahijado,es ESP,DF,Oviedo,31-012,1995,12,9,861,9.6,0,1,1,0,0,0,2,0,0.0,0.1,0.1,0.0,0.1,Matches,PLY-D9E32E875D
Joseph Aidoo,gh GHA,DF,Celta Vigo,30-135,1995,3,2,198,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,PLY-8BFED10307
Ilias Akhomach,ma MAR,MF,Villarreal,21-301,2004,9,2,188,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,PLY-0ECA60E540
Ilias Akhomach,ma MAR,MF,Rayo Vallecano,21-301,2004,2,1,127,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,PLY-0ECA60E540
David Alaba,at AUT,DF,Real Madrid,33-232,1992,5,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,PLY-CF18DFCB59
Alexandre Alemão,br BRA,FW,Rayo Vallecano,27-316,1998,13,6,631,7.0,1,0,1,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,Matches,PLY-3DB4550C8C
Carles Aleñá,es ESP,MF,Alavés,28-037,1998,23,16,1379,15.3,0,3,3,0,0,0,3,0,0.0,0.2,0.2,0.0,0.2,Matches,PLY-0F3FD142F0
Trent Alexander-Arnold,eng ENG,"DF,MF",Real Madrid,27-127,1998,9,5,407,4.5,0,1,1,0,0,0,0,0,0.0,0.22,0.22,0.0,0.22,Matches,PLY-28CABBC560
Alfon,es ESP,MF,Sevilla,26-283,1999,10,4,312,3.5,1,0,1,1,0,0,0,0,0.29,0.0,0.29,0.29,0.29,Matches,PLY-28AA2A7FE4
Thiago Almada,ar ARG,"MF,FW",Atlético Madrid,24-291,2001,15,7,614,6.8,3,1,4,3,0,0,1,0,0.44,0.15,0.59,0.44,0.59,Matches,PLY-CEB7C8CE6A
Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,25-257,2000,14,9,813,9.0,0,1,1,0,0,0,0,0,0.0,0.11,0.11,0.0,0.11,Matches,PLY-58532BCD96
Marcos Alonso,es ESP,DF,Celta Vigo,35-045,1990,20,19,1703,18.9,1,0,1,0,1,1,2,0,0.05,0.0,0.05,0.0,0.0,Matches,PLY-FEFB898608
Adrià Altimira,es ESP,DF,Villarreal,24-320,2001,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,PLY-FE258C435E
Sergi Altimira,es ESP,MF,Real Betis,24-170,2001,15,9,779,8.7,1,1,2,1,0,0,2,0,0.12,0.12,0.23,0.12,0.23,Matches,PLY-D6EC2C0217
Carlos Álvarez,es ESP,MF,Levante,22-189,2003,22,19,1562,17.4,3,1,4,3,0,0,3,0,0.17,0.06,0.23,0.17,0.23,Matches,PLY-A1D9B65B85
Hugo Álvarez,es ESP,"FW,MF",Celta Vigo,22-224,2003,15,6,642,7.1,2,1,3,2,0,0,2,0,0.28,0.14,0.42,0.28,0.42,Matches,PLY-77A2F981E2
Julián Álvarez,ar ARG,FW,Atlético Madrid,26-011,2000,23,21,1632,18.1,7,3,10,5,2,3,2,0,0.39,0.17,0.55,0.28,0.44,Matches,PLY-38EA907A90
Sofyan Amrabat,ma MAR,MF,Real Betis,29-174,1996,8,6,603,6.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,PLY-9408502F2B
Miguel Ángel Rubio,es ESP,DF,Espanyol,27-337,1998,8,1,157,1.7,1,0,1,1,0,0,0,0,0.57,0.0,0.57,0.57,0.57,Matches,PLY-1982E91C22
Miguel Ángel Sierra,es ESP,FW,Sevilla,21-212,2004,4,0,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,PLY-5C63097130
Antoniu,es ESP,MF,Espanyol,23-159,2002,8,1,115,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,PLY-05F6464440
